"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"41525",2.41667567567568,7.97081081081081,11.9388324897812,3.95946619012606e-27,1.53077544110824e-25,50.8748382525123
"26671",1.12785135135135,5.71493243243243,11.8194604579235,1.04447852368639e-26,3.77105993349034e-25,49.9157260516695
"16383",1.12931756756757,4.13819932432432,11.7640636524438,1.6364139589774e-26,5.73419063677624e-25,49.4718022012596
"34638",1.83293918918919,6.49994932432432,11.7222068927539,2.29621176182205e-26,7.78382508826344e-25,49.1368831593926
"28415",1.5399054054054,6.55657432432432,11.6862135195845,3.07165549525646e-26,1.02472222138989e-24,48.8492293506748
"41318",1.88270945945946,6.84059797297297,11.6831211263211,3.14936038879573e-26,1.04487290062315e-24,48.8245305538355
"38038",1.41630405405405,7.40799662162162,11.6599694465977,3.79680831681862e-26,1.25080769761109e-24,48.639695815525
"36721",1.68459459459459,8.24408783783784,11.6253064891341,5.02201429754353e-26,1.64235213485528e-24,48.3632131749384
"54810",1.35435135135135,11.5241148648649,11.6135815743172,5.51991570253812e-26,1.7747192891047e-24,48.2697609213678
"49788",1.13797972972973,7.21944932432432,11.573822381219,7.603888239777e-26,2.40344521524843e-24,47.953127190061
"51102",1.13633783783784,12.214972972973,11.5635921428682,8.25656541115908e-26,2.59222905995988e-24,47.8717217827095
"49451",1.28733783783784,6.32174324324324,11.5419070650276,9.83035965199839e-26,3.07601487973568e-24,47.6992563059194
"39098",1.20277027027027,5.54958783783784,11.5377494265302,1.01646083311985e-25,3.17000251822311e-24,47.6662038283617
"40981",1.57730405405406,8.26092905405405,11.5337803292125,1.04942541042973e-25,3.24040400659423e-24,47.6346544321827
"41859",1.08652702702703,5.67587162162162,11.528904714938,1.09137961667504e-25,3.35886437289859e-24,47.5959049900968
"28581",1.28290540540541,6.37798648648649,11.4976051865149,1.40346419611273e-25,4.26325033078919e-24,47.3472973368153
"23719",1.09824324324324,6.53582432432432,11.4824953996797,1.58449252334425e-25,4.76672413132116e-24,47.2273748627348
"49272",1.7284054054054,7.18197972972973,11.4791781097539,1.62725025853595e-25,4.84858389135742e-24,47.2010544768468
"50980",2.33772972972972,9.49689864864865,11.4777537924526,1.64595960141582e-25,4.88876127963379e-24,47.189754405704
"49118",2.56768918918919,7.68512162162162,11.4607858921807,1.88602480273177e-25,5.56645049033389e-24,47.0551780225189
"29917",1.44156756756757,11.2187905405405,11.42518620362,2.50896864068387e-25,7.29003434852121e-24,46.7730781204001
"23653",1.17597297297297,7.84512837837838,11.4223845947677,2.56592204968266e-25,7.43243550985478e-24,46.7508919567801
"34924",2.35479054054053,8.9348277027027,11.4195706126232,2.62442295966871e-25,7.57842629958656e-24,46.7286099321238
"60185",1.24064864864865,6.17522972972973,11.4114790388309,2.80014708711905e-25,8.03625035186683e-24,46.6645500971114
"55349",1.52799324324324,7.20275337837838,11.4095008120297,2.84486115306814e-25,8.13960885263166e-24,46.6488914412797
"52966",1.35566216216216,6.31678378378378,11.3831000885054,3.51430062130851e-25,9.93347329696749e-24,46.4400177229279
"24510",1.85568243243243,7.66904391891892,11.3717761747143,3.84751111421702e-25,1.07776389175492e-23,46.3504846011065
"21800",1.12503378378378,6.03200337837838,11.3593338903925,4.25000091464727e-25,1.17642037152189e-23,46.2521492720984
"31704",1.15216216216216,7.69793243243243,11.3165340604262,5.98252312349022e-25,1.63185091380101e-23,45.9142121698682
"51630",1.43665540540541,8.13244932432432,11.3023831836144,6.69782587256591e-25,1.81112308854701e-23,45.8025911815836
"3354",2.6341418918919,8.82076689189189,11.2888010888832,7.46430741101829e-25,2.00103324176181e-23,45.6955088367656
"23711",2.19682432432433,7.8344527027027,11.2359691204253,1.13715251461973e-24,2.98016776660566e-23,45.2794661040101
"49018",1.51638513513513,8.44904391891892,11.2201975795301,1.28923616713147e-24,3.35991464615097e-23,45.155419646291
"54187",1.18756081081081,5.069375,11.2001724659906,1.51183803280674e-24,3.90739133561873e-23,44.9980191948468
