"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"54166",-1.6455945945946,13.5739189189189,-12.5022054359152,3.89795469804959e-29,2.09593472154896e-27,55.444873840224
"25290",-2.0701554054054,6.83149662162162,-12.4937232359305,4.18086388156626e-29,2.23520928433908e-27,55.3755665184342
"25453",-1.76366891891892,10.9470506756757,-12.4893856468853,4.33335619933949e-29,2.3035727614216e-27,55.3401300603252
"40094",1.34222972972973,6.55368243243243,12.4748579197915,4.88564089613771e-29,2.58248905221833e-27,55.2214717437791
"40048",1.92218243243244,6.50046283783784,12.4723216512744,4.98901541543885e-29,2.62231619251943e-27,55.2007606127593
"40375",-0.944452702702714,10.7934560810811,-12.4564747628278,5.68614740158124e-29,2.97204441839073e-27,55.0713847625875
"17377",-0.994033783783783,11.1997804054054,-12.4397738662689,6.52617612110502e-29,3.39216132161437e-27,54.9350921201306
"9916",-3.04546621621622,11.1283074324324,-12.4149152520302,8.01094543025331e-29,4.14090637820165e-27,54.7323319263458
"37118",1.3397972972973,5.41933783783784,12.4076621147097,8.50450019429751e-29,4.37187383614547e-27,54.6731954421981
"35408",1.78666216216216,6.6122972972973,12.4001827275238,9.0452143790109e-29,4.62442763552054e-27,54.6122256865212
"6475",-1.16789864864865,6.16130067567568,-12.3859395288647,1.01714779299602e-28,5.17197540829933e-27,54.4961514223925
"51079",-0.887344594594595,11.9548885135135,-12.3730353675015,1.13120745333442e-28,5.72085239643071e-27,54.3910260272905
"31696",-0.995668918918923,8.58860472972973,-12.3721383174426,1.13959478367626e-28,5.73228429896509e-27,54.3837193862468
"19284",-1.75574999999999,6.62136148648649,-12.3685217000271,1.1740433427219e-28,5.87398369759683e-27,54.354263064669
"23389",1.34839864864865,5.97361824324324,12.3278038649168,1.64141041803723e-28,8.14763828275081e-27,54.0228173189109
"61409",-1.32688513513512,8.80180067567568,-12.3274718278116,1.64589956759289e-28,8.14763828275081e-27,54.0201159524886
"50275",-1.20748648648648,7.15922297297297,-12.3241842977434,1.69101292780631e-28,8.32690365923989e-27,53.9933707332854
"22620",1.20539189189189,13.8571824324324,12.3213381282804,1.73106397672244e-28,8.4794945372854e-27,53.9702179874458
"10921",1.7711554054054,6.01496283783784,12.320261608952,1.74645793807162e-28,8.51034399406149e-27,53.9614612689862
"25985",-1.28068243243244,11.4648141891892,-12.2685354314234,2.67167768902334e-28,1.2951407491452e-26,53.5409966103244
"49438",-2.23947972972973,10.1097804054054,-12.2656776116159,2.73512574183564e-28,1.31906373405228e-26,53.5177830623251
"42041",1.08978378378378,10.3826824324324,12.2540686390667,3.00868181842936e-28,1.44355010734488e-26,53.4235035978219
"55495",-1.46542567567568,10.2565844594595,-12.2519909000625,3.06044379024654e-28,1.46089347456871e-26,53.4066328119061
"58132",-0.837621621621624,9.62022972972973,-12.2429226471695,3.29695054180087e-28,1.56580047051213e-26,53.3330115153668
"21540",-0.943993243243243,11.5744831081081,-12.238369431034,3.42248550562048e-28,1.61721082780733e-26,53.2960526039499
"41315",-0.815925675675679,11.3865439189189,-12.2351580614374,3.51387940660109e-28,1.65205305166632e-26,53.2699883003916
"6831",-1.57741216216216,11.1797331081081,-12.2336626314631,3.55726482022082e-28,1.6640884828993e-26,53.2578517694501
"33834",-1.81693918918918,9.50841554054054,-12.2259239428186,3.79045765038376e-28,1.76435431726321e-26,53.1950543004344
"50739",-2.19684459459459,8.77326013513514,-12.2190655561373,4.00982690180151e-28,1.85722477689381e-26,53.139411154702
"41648",1.27040540540541,7.0717972972973,12.210389817111,4.30554241072468e-28,1.98436723126799e-26,53.0690382540245
