"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3097",-3.02229054054054,8.84190878378378,-14.0862073626571,6.5342125529571e-35,1.1321128267679e-32,68.6042564203474
"25806",-1.48019594594594,8.58894256756757,-13.9956795124369,1.41091988908702e-34,2.40010299678149e-32,67.8423801370291
"21354",-1.70947297297297,9.55645945945946,-13.9628596452233,1.86464999201525e-34,3.06064303952538e-32,67.5664135094617
"29341",-1.93647297297297,13.2753851351351,-13.9515512697301,2.05261964499483e-34,3.31108782733993e-32,67.4713572850393
"61412",-1.89241891891891,10.0882297297297,-13.9446079133785,2.17728766387945e-34,3.4526615903824e-32,67.4130004499788
"49718",-2.73690540540541,11.363722972973,-13.8630976089106,4.34844798528499e-34,6.45779037306768e-32,66.7283804917359
"28852",-3.26431756756757,11.7150506756757,-13.8429699631275,5.15776849283623e-34,7.54001281546496e-32,66.5594541580971
"3590",-1.95028378378379,7.76000675675676,-13.795836521948,7.69059697936023e-34,1.09020038392264e-31,66.1640793772847
"16655",-2.22921621621621,8.66332432432432,-13.7637296118376,1.0094245511285e-33,1.38884942652328e-31,65.8949195500356
"34087",-1.74635810810811,8.29918581081081,-13.7510649844461,1.12369356237534e-33,1.52366332892517e-31,65.788786456028
"28148",-1.85124324324324,9.12493918918919,-13.7089562243676,1.60485539185208e-33,2.1147925417138e-31,65.4360574681888
"53835",-1.82137837837838,7.9019527027027,-13.6968653601774,1.77771356090426e-33,2.31004001053059e-31,65.3348210758921
"17493",-1.2315945945946,7.29469594594595,-13.6821312038204,2.01367054784933e-33,2.5459326548214e-31,65.2114793495639
"2248",-1.95568243243243,7.61824662162162,-13.6704998418203,2.22181428179844e-33,2.7716392560675e-31,65.1141324984281
"14916",-2.30283783783784,9.7227027027027,-13.6653678878451,2.32035110507328e-33,2.85647433408758e-31,65.0711873157788
"25943",-2.07839864864864,7.55535472972973,-13.6524339036049,2.58847474066527e-33,3.10484226585439e-31,64.9629693127406
"42463",-3.03891891891891,12.4214932432432,-13.598973103715,4.06660361049782e-33,4.81609409871109e-31,64.515911828281
"21593",-3.01699324324323,10.843097972973,-13.5423149164803,6.56090645525248e-33,7.48583424333441e-31,64.0425562976584
"36115",-1.29808783783783,8.12442905405405,-13.5400606529187,6.68689965334229e-33,7.53766664538199e-31,64.0237323504348
"43612",-1.38622972972973,8.54418918918919,-13.5344116657364,7.01333630296438e-33,7.81152076792081e-31,63.9765643996027
