"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051985","negative regulation of chromosome segregation","9/435","53/18860",0.169811320754717,7.36239427456083,7.1268720453477,3.06586074624829e-06,0.000416335534046163,0.000343641376608609,"DUSP1/SPC25/CCNB1/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",9
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","18/435","217/18860",0.0829493087557604,3.596376926744,5.91071363054848,3.08339682633414e-06,0.000416335534046163,0.000343641376608609,"PRR5/NTRK3/ERBB3/FERMT2/MST1R/IL33/CCL19/EPHA8/NTRK2/RET/ADRA2A/XBP1/EGFR/ITGB1BP1/TREM2/TYRO3/VAV3/TMEM100",18
"GO:0051304","chromosome separation","11/435","83/18860",0.132530120481928,5.74601855698657,6.65818082210661,3.14286503440632e-06,0.000416335534046163,0.000343641376608609,"DUSP1/SPC25/ESPL1/CCNB1/DLGAP5/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",11
"GO:1901990","regulation of mitotic cell cycle phase transition","24/435","357/18860",0.0672268907563025,2.91471071187095,5.61198383075471,3.1499186640172e-06,0.000416335534046163,0.000343641376608609,"DUSP1/E2F7/SPC25/ESPL1/CDC14B/KIF14/CCNB1/DLGAP5/AURKA/MAD2L1/FAM107A/BUB1B/AURKB/CHEK1/BLM/SKA3/NUF2/CENPF/CDC14C/RRM2/EGFR/EZH2/IER3/PKMYT1",24
"GO:0007093","mitotic cell cycle checkpoint signaling","14/435","136/18860",0.102941176470588,4.4631507775524,6.22790169183775,3.21682805514479e-06,0.000416335534046163,0.000343641376608609,"DUSP1/SPC25/CDC14B/CCNB1/MAD2L1/BUB1B/AURKB/CHEK1/BLM/SKA3/NUF2/CENPF/EME1/IER3",14
"GO:0009410","response to xenobiotic stimulus","27/435","443/18860",0.0609480812641084,2.64248462676111,5.37519151953841,4.86507928091891e-06,0.000611139812023667,0.000504431904390014,"CEBPA/SLC6A2/EPHX1/AOX1/ABCC6/CYP3A5/FOSB/KCNJ8/CCNB1/LRP8/COL1A1/WNK4/MMP7/ALDH2/GLYAT/MDK/S100A12/C1orf115/NAT2/CENPF/GPLD1/AGPAT2/EMX2/TGFBR2/PTPRM/VAV3/RAD51",27
"GO:0010948","negative regulation of cell cycle process","22/435","318/18860",0.0691823899371069,2.99949396370997,5.52529638870149,5.13317141509609e-06,0.000626393574682155,0.00051702228779419,"DUSP1/E2F7/SPC25/ESPL1/CDC14B/CCNB1/TIMELESS/MAD2L1/FAM107A/BUB1B/NEK2/AURKB/CHEK1/BLM/SKA3/NUF2/CENPF/EZH2/EME1/IER3/PKMYT1/RAD51",22
"GO:0033047","regulation of mitotic sister chromatid segregation","9/435","57/18860",0.157894736842105,6.84573502722323,6.79146068961574,5.73665251073246e-06,0.000680590079814954,0.000561755826270264,"DUSP1/SPC25/CCNB1/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",9
"GO:1901988","negative regulation of cell cycle phase transition","20/435","274/18860",0.072992700729927,3.1646950247504,5.54599207243873,6.23115256953771e-06,0.00071927709795934,0.000593687907692228,"DUSP1/E2F7/SPC25/CDC14B/CCNB1/TIMELESS/MAD2L1/FAM107A/BUB1B/AURKB/CHEK1/BLM/SKA3/NUF2/CENPF/EZH2/EME1/IER3/PKMYT1/RAD51",20
"GO:0003015","heart process","20/435","275/18860",0.0727272727272727,3.15318704284222,5.52671452647165,6.57938034398458e-06,0.000739487722346266,0.000610369661274359,"S100A1/TBX18/AVPR1A/FXYD1/KCNJ8/CXADR/EPAS1/SGCG/EDN2/ATP1A2/THRB/KCNIP2/ASPH/JPH2/CACNA2D1/YAP1/SCN4A/SCN3B/THRA/ADRB1",20
"GO:0000280","nuclear division","27/435","453/18860",0.0596026490066225,2.58415163279288,5.24390185253305,7.32156036123232e-06,0.000769612238307986,0.000635234293976129,"DUSP1/SPC25/ESPL1/CDC14B/KIF14/CCNB1/DLGAP5/AURKA/MYBL2/MAD2L1/CAV2/KIF2C/MKI67/BUB1B/NEK2/AURKB/CHEK1/SKA3/NUF2/CENPF/CDC14C/TPX2/EME1/ASPM/KIF23/PKMYT1/RAD51",27
